,luis,bobby,austin,eric,ken,tyler,,,
Team 1,Ohio State,Clemson,USC,Alabama,Wisconsin,Georgia,,,
Team 2,Oklahoma,Penn State,Texas A&M,Florida,Oklahoma State,Baylor,,,
Team 3,Michigan State,UCLA,Oregon,NC State,Michigan,Iowa,,,
Team 4,Pittsburgh,Miami,Ole Miss,Nebraska,Utah,Notre Dame,,,
,,,,,,,,,
Team 1,$62,$50,$33,$65,$11,$61,,,
Team 2,$38,$20,$22,$7,$22,$5,,,
Team 3,$0,$10,$28,$10,$35,$1,,,
Team 4,$0,$20,$17,$18,$32,$33,,,
SUM,$0,$0,$0,$0,$0,$0,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
